Year,Residential,Commercial,Transportation,Industrial
2020,1507721,1358322,2355476,1701239
2019,1455751,1468097,3059749,1806508
2018,1440273,1510417,3062408,1852054
2017,1415455,1473145,3049442,1828150
2016,1367103,1458412,2970922,1851514
2015,1347770,1462756,2865537,1849423
2014,1355028,1432703,2798542,1859708
2013,1440463,1430530,2777173,1884236
2012,1437024,1489739,2773267,1746357
2011,1500559,1538868,2828580,1783641
2010,1466657,1510893,2934185,1740034
2009,1483981,1514609,3063147,1713540
2008,1511586,1572459,3145159,1846426
2007,1474374,1536269,3355466,1894854
2006,1488574,1521325,3328715,1908438
2005,1449101,1484716,3280275,1937683
2004,1489320,1535765,3194101,1997607
2003,1455716,1422577,3041509,1928714
2002,1425659,1453698,3130834,1953116
2001,1417985,1443749,2967388,2089459
2000,1426721,1354315,3017945,2094280
1999,1485795,1344643,2869691,2101751
1998,1486214,1427623,2807883,2084664
1997,1358381,1301351,2799926,2068612
1996,1361384,1244878,2866143,1932963
1995,1325392,1257203,2817126,1895891
1994,1369438,1212530,2752695,1938357
1993,1354131,1237949,2630793,1915452
1992,1355310,1290756,2681192,1980411
1991,1367567,1298002,2691409,1969393
1990,1367856,1310848,2834517,1926141
1989,1420797,1275845,2817092,1906601
1988,1359856,1201208,2730174,1852544
1987,1308727,1135265,2578470,1916019
1986,1217724,1073001,2447497,1762901
1985,1304360,1079857,2364497,1852772
1984,1227952,1070308,2373953,1860967
1983,1226313,1005167,2253957,1606882
1982,1232826,1085887,2230899,1526436
1981,1192869,1132333,2345832,1661176
1980,1226364,1085549,2363837,1864716
1979,1290698,1051824,2354473,2030621
1978,1196279,1005974,2373098,1897343
1977,1154079,995988,2207003,2004393
1976,1202586,979844,2065541,1938348
1975,1220587,971642,1955901,1884711
1974,1148722,845078,1899639,1922886
1973,1189801,878226,1987135,1991904
1972,1192848,854486,1932085,1892588
1971,1167142,830984,1909144,1840387
1970,1046492,771607,1832707,1848333