Country,"Avg 
(Mbit/s)Ookla"
Canada,75.18
South Korea,117.95
Netherlands,108.33
Japan,44.05
Norway,134.73
Singapore,67.99
Australia,76.52
Switzerland,82.29
Belgium,58.65
Croatia,86.48
New Zealand,49.49
Austria,56.6
Denmark,105.65
Lithuania,50.13
Czech Republic,44.55
United Arab Emirates,135.35
Hungary,41.32
Qatar,120.69
North Macedonia,64.23
Finland,71.23
Sweden,73.61
Taiwan,53.93
Germany,55.7
France,60.94
United States,61.12
Portugal,64.3
Spain,34.26
Slovenia,54.57
Albania,40.48
Slovakia,33.44
Serbia,45.81
Oman,44.47
Italy,37.15
Lebanon,16.38
Greece,59.42
United Kingdom,48.1
Hong Kong,47.34
Romania,36.9
Saudi Arabia,102.79
Poland,40.14
Vietnam,33.9
Uruguay,34.43
Turkey,30.48
Mexico,29.81
Maldives,47.93
Ireland,30.16
South Africa,33.62
Puerto Rico,
Azerbaijan,30.4
Argentina,20.64
Morocco,27.84
Laos,23.41
Kuwait,96.23
Bahrain,53.08
Brunei,71.38
Iran,24.9
Tunisia,22.64
Brazil,22.3
Israel,28.01
Guatemala,17.3
Russia,20.46
Ukraine,15.62
Costa Rica,17.46
Chile,22.49
Bolivia,14.1
Honduras,20.73
Colombia,12.35
Ecuador,17.7
Jordan,19.47
Peru,15.64
Afghanistan,5.5
Kazakhstan,18.71
Dominican Republic,20.7
Malaysia,25.87
Kenya,16.93
Belarus,9.99
Paraguay,15.15
Egypt,19.73
Kyrgyzstan,16.3
Sri Lanka,13.15
Indonesia,17.7
Thailand,33.49
Senegal,21.44
Philippines,19.48
Panama,17.03
Pakistan,16.73
India,13.67
Cambodia,16.12
Nepal,16.45
Cameroon,11.88
Ivory Coast,9.92
Nigeria,18.92
Bangladesh,10.43
Ghana,8.44
Somalia,7.95
Uzbekistan,13.27
Algeria,12.44
El Salvador,21.03
Tanzania,10.39
Iraq,39.9
Bulgaria,87.51
China,83.43
Luxembourg,82.85
Cyprus,75.48
Montenegro,41.93
Estonia,55.07
Macau,50.16
Malta,49.66
Latvia,41.6
Suriname,40.7
Togo,34.42
Jamaica,30.84
Georgia,30.67
Moldova,29.46
Bosnia and Herzegovina,28.49
Trinidad and Tobago,28.37
Bahamas,26.77
Fiji,25.99
Kosovo,24.63
Botswana,24.14
Myanmar,24.06
Angola,22.59
Armenia,22.01
Ethiopia,21.08
Namibia,18.43
Nicaragua,18.3
Mauritius,18.09
Malawi,17.95
Yemen,16.89
Mongolia,16.69
Lebanon,16.38
Uganda,15.99
Mozambique,15.66
Zimbabwe,13.99
Syria,13.24
Haiti,12.49
DR Congo,12.08
Libya,10.4
Zambia,10.36
Sudan,9.5
Cuba,9.1
Tajikistan,7.05
Venezuela,5.68
Palestine,4.89